"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3110000","311000001020200003","2020-11-09","","01","영업/정상","0000","정상","","","","","02-6956-7599","464.83","","서울특별시 은평구 불광동 276-32","서울특별시 은평구 불광로 59(불광동)","03358","동물병원 움","2023-03-20 17:02:33","U","2022-12-02 22:02:00.0","","193901.054217708","456670.845810295","","","","",""
"3140000","314000001020230002","2023-03-24","","01","영업/정상","0000","정상","","","","","02-2650-8275","","","서울특별시 양천구 신정동 321-6 센트럴프라자 203호","서울특별시 양천구 목동서로 349, 센트럴프라자 203호 (신정동)","08095","공원옆동물의료센터","2023-03-24 16:05:12","I","2022-12-02 22:06:00.0","","188039.543424546","446149.197185122","","","","",""
"3140000","314000001020150004","2015-12-03","","03","폐업","0002","폐업","2023-03-24","","","","2650-8275","58.93","","서울특별시 양천구 신정동 321-6 센트럴프라자 104호","서울특별시 양천구 목동서로 349, 104호 (신정동, 센트럴프라자)","08095","공원옆동물병원","2023-03-24 17:45:01","U","2022-12-02 22:06:00.0","","188039.543424546","446149.197185122","","","","",""
"3180000","318000001020010002","2001-06-15","","01","영업/정상","0000","정상","","","","","849-6509","82.5","","서울특별시 영등포구 신길동 232-15","서울특별시 영등포구 신길로 168 (신길동)","07362","우신종합동물병원","2023-04-03 18:31:17","U","2022-12-04 00:05:00.0","","192081.391357898","445002.688462087","","","","",""
"3160000","316000001020200003","2020-05-15","","01","영업/정상","0000","정상","","","","","02-2636-7645","0","","서울특별시 구로구 구로동 631-23 서울반려동물교육센터","서울특별시 구로구 경인로 472, 서울반려동물교육센터 (구로동)","08278","서울동물복지지원센터 동물병원(구로)","2023-07-31 14:51:46","U","2022-12-08 00:02:00.0","","188524.151597509","443977.171491116","","","","",""
"3210000","321000001020160003","2016-07-25","","01","영업/정상","0000","정상","","","","","02-525-3102","211.57","","서울특별시 서초구 방배동 442-3 대광빌딩 1,2층","서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)","06691","VIP동물의료센터 서초동작점","2023-08-01 15:06:50","U","2022-12-08 00:03:00.0","","198351.955","441943.104999999","","","","",""
"3060000","306000001019970001","1997-03-17","","01","영업/정상","0000","정상","","","","","974-0339","95.4","","서울특별시 중랑구 묵동 239-76","서울특별시 중랑구 동일로 899, 1층 (묵동)","02006","홍상희동물병원","2023-09-05 15:21:09","U","2022-12-09 00:07:00.0","","206763.653496703","456484.166451356","","","","",""
"3000000","300000001020060001","2006-03-27","","01","영업/정상","0000","정상","","","","","3917502","0","","서울특별시 종로구 홍지동 126-8","서울특별시 종로구 자하문로 305 (홍지동)","","올리브동물병원","2023-05-23 17:05:41","U","2022-12-04 22:05:00.0","","196308.215602977","455218.757468473","","","","",""
"3060000","306000001020080001","2008-06-19","","03","폐업","0002","폐업","2023-05-24","","","","494-7582,","0","","서울특별시 중랑구 중화동 207","서울특별시 중랑구 망우로 247 (중화동)","02117","로얄동물메디컬센터","2023-05-25 18:30:32","U","2022-12-04 22:07:00.0","","206997.270586637","454794.043242834","","","","",""
"3070000","307000001020080004","2008-10-16","","01","영업/정상","0000","정상","","","","","926-8275","0","","서울특별시 성북구 보문동5가 3-1","서울특별시 성북구 보문로 99 (보문동5가)","02872","24시 애니동물병원","2023-09-22 09:17:29","U","2022-12-08 22:04:00.0","","201682.296447573","453515.272296647","","","","",""
"3140000","314000001020140003","2014-12-03","","01","영업/정상","0000","정상","","","","","2651-1855","54.45","","서울특별시 양천구 목동 531-13 101호","서울특별시 양천구 목동중앙본로 100, 101호 (목동)","07973","대현동물병원","2023-03-24 11:03:21","U","2022-12-02 22:06:00.0","","188520.902408056","449143.102014667","","","","",""
"3010000","301000001020190008","2019-08-01","","01","영업/정상","0000","정상","","","","","02-6956-7502","0","","서울특별시 중구 을지로5가 133-1 뉴천지관광호텔","서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)","04561","서울동물영상종양센터","2023-05-11 14:05:06","U","2022-12-04 23:03:00.0","","200225.983119633","451511.262755282","","","","",""
"3170000","317000001020180001","2018-04-10","","01","영업/정상","0000","정상","","","","","802-2811","227.32","","서울특별시 금천구 시흥동 904-6 서우빌딩","서울특별시 금천구 시흥대로 172, 서우빌딩 (시흥동)","08631","더조은 동물의료센터","2023-06-12 09:16:05","U","2022-12-05 23:04:00.0","","191374.584035138","438600.409604547","","","","",""
"3220000","322000001020230007","2023-09-26","","01","영업/정상","0000","정상","","","","","02-545-8875","0","","서울특별시 강남구 청담동 125-14 RNF537","서울특별시 강남구 도산대로 537, RNF537 3층 (청담동)","06013","청담 고운 피부과 동물병원","2023-09-26 19:24:15","I","2022-12-08 22:09:00.0","","204559.800838069","446996.519590524","","","","",""
"3090000","309000001020230001","2023-06-01","","01","영업/정상","0000","정상","","","","","02-904-1004","","","서울특별시 도봉구 창동 715-1","서울특별시 도봉구 도봉로 578, 2층 2호 (창동)","01426","24시 딜라이트 동물의료센터","2023-06-01 13:17:50","I","2022-12-06 00:03:00.0","","203439.44750178","461539.552727474","","","","",""
"3090000","309000001020230002","2023-06-14","","01","영업/정상","0000","정상","","","","","999-7582","","","서울특별시 도봉구 쌍문동 474-4","서울특별시 도봉구 우이천로 446-3 (쌍문동)","01372","동물병원 비아츠","2023-06-14 11:17:34","I","2022-12-05 23:06:00.0","","201440.396062205","461200.881241907","","","","",""
"3140000","314000001020230003","2023-06-01","","01","영업/정상","0000","정상","","","","","02)2062-7982","54","","서울특별시 양천구 목동 917-6 중소기업유통센터(행복한백화점)","서울특별시 양천구 목동동로 309, 중소기업유통센터(행복한백화점) 지하2층 (목동)","07997","펫사랑동물병원","2023-06-14 14:20:15","U","2022-12-05 23:06:00.0","","188977.171050288","447466.355031447","","","","",""
"3050000","305000001020200002","2020-09-16","","01","영업/정상","0000","정상","","","","","02-2217-8930","0","","서울특별시 동대문구 답십리동 52-3","서울특별시 동대문구 전농로 80, 1층 (답십리동)","02606","아이원 동물병원","2023-06-26 16:28:07","U","2022-12-05 22:08:00.0","","205018.210432587","452185.824073309","","","","",""
"3140000","314000001020180001","2018-10-24","","01","영업/정상","0000","정상","","","","","02-2647-1772","259.64","","서울특별시 양천구 목동 783-2","서울특별시 양천구 등촌로 58 (목동)","07965","하니동물병원","2023-02-10 09:24:21","U","2022-12-01 23:02:00.0","","187890.251114546","448106.571502671","","","","",""
"3230000","323000001020180007","20180723","","03","폐업","0002","폐업","20211222","","","","02-423-5755","0","","서울특별시 송파구 잠실동 27 잠실주공아파트상가 1층 106호","서울특별시 송파구 송파대로 567, 상가동 1층 106호 (잠실동, 잠실주공아파트)","05503","더오동물병원","2022-04-11 11:27:26","U","2021-12-03 23:03:00.0","","208317.419891103","445894.98085039","","","","",""
"3090000","309000001020200001","20200714","","03","폐업","0002","폐업","20220531","","","","","0","","서울특별시 도봉구 창동 743-23","서울특별시 도봉구 마들로 548, 102, 103호 (창동)","01408","블루핀동물병원","2022-06-02 10:47:17","U","2021-12-06 00:04:00.0","","204335.318536601","462000.58433059","","","","",""
"3180000","318000001020180004","20180622","","01","영업/정상","0000","정상","","","","","02-2676-7582","0","","서울특별시 영등포구 양평동1가 28-3","서울특별시 영등포구 영등포로 85-1, 1, 2, 지층 (양평동1가)","07262","24시 수 동물메디컬센터","2022-04-11 11:07:32","U","2021-12-03 23:03:00.0","","190309.663767451","446683.974500419","","","","",""
"3070000","307000001020220001","20221024","","01","영업/정상","0000","정상","","","","","02-922-7555","82","","서울특별시 성북구 보문동7가 102 (주)참존글로벌워크","서울특별시 성북구 보문로 51, (주)참존글로벌워크 1층 (보문동7가)","02873","포포동물병원","2022-10-24 09:44:13","I","2021-10-30 22:06:00.0","","201873.076353983","453075.559973991","","","","",""
"3150000","315000001020230001","2023-05-30","","01","영업/정상","0000","정상","","","","","02-2135-5611","0","","서울특별시 강서구 마곡동 800-5","서울특별시 강서구 공항대로 228, 2층 201,202,203,211,212호 (마곡동)","07806","율동물의료센터","2023-06-05 17:43:00","U","2022-12-06 00:08:00.0","","185148.900294753","450719.380288227","","","","",""
"3140000","314000001019900001","1990-01-30","","01","영업/정상","0000","정상","","","","","2693-8883","1","","서울특별시 양천구 신월동 501-12","서울특별시 양천구 중앙로 295 (신월동)","08028","우신동물병원","2023-06-08 09:22:00","U","2022-12-05 23:00:00.0","","186794.842142997","446714.27578886","","","","",""
"3220000","322000001020110002","2011-01-25","","03","폐업","0002","폐업","2022-10-31","","","","1577-6125","1002.5","","서울특별시 강남구 청담동 97 M빌딩","서울특별시 강남구 도산대로 445, M빌딩 2층 (청담동)","06015","이리온동물의료원(청담점)","2023-06-20 09:34:04","U","2022-12-05 22:02:00.0","","203876.65494992","446925.480533226","","","","",""
"3220000","322000001020230003","2023-06-22","","01","영업/정상","0000","정상","","","","","02-540-7522","","","서울특별시 강남구 신사동 627-21 3층","서울특별시 강남구 언주로 813, 3층 (신사동)","06024","케어덴 동물치과&내과병원","2023-06-22 15:45:38","I","2022-12-05 22:04:00.0","","202836.742008108","446751.323242159","","","","",""
"3150000","315000001020150001","2015-02-09","","01","영업/정상","0000","정상","","","","","02-2662-8111","0","","서울특별시 강서구 마곡동 747 마곡엠밸리10단지 101호","서울특별시 강서구 마곡중앙1로 72, 101호 (마곡동, 마곡엠밸리10단지)","07629","24시 강서 젠틀리동물의료센터","2023-06-23 09:56:08","U","2022-12-05 22:05:00.0","","183968.906835987","450822.830988735","","","","",""
"3230000","323000001020230003","2023-06-27","","01","영업/정상","0000","정상","","","","","02-6953-7599","","","서울특별시 송파구 방이동 180-3 올림픽타워빌","서울특별시 송파구 백제고분로 506, 2층 (방이동, 올림픽타워빌)","05627","바로슬동물병원","2023-06-27 16:23:57","I","2022-12-05 22:09:00.0","","210147.649377402","445888.044710065","","","","",""
"3050000","305000001020160001","2016-05-24","","01","영업/정상","0000","정상","","","","","02-2242-0175","0","","서울특별시 동대문구 장안동 483","서울특별시 동대문구 한천로 164, 1층 (장안동)","02529","스마트동물병원","2023-07-05 14:47:17","U","2022-12-07 00:07:00.0","","205908.898385821","452581.997774717","","","","",""
"3080000","308000001020170001","2017-06-05","","01","영업/정상","0000","정상","","","","","02-903-7582","217.39","","서울특별시 강북구 수유동 39-10 1, 2층","서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)","01077","24시 수유 바른펫 동물의료센터","2023-04-05 10:42:55","U","2022-12-04 00:07:00.0","","201895.657015169","459898.768983751","","","","",""
"3180000","318000001020230002","2023-06-28","","01","영업/정상","0000","정상","","","","","","","","서울특별시 영등포구 신길동 362-22","서울특별시 영등포구 도신로 86, 1층 (신길동)","07382","신길S동물의료센터","2023-06-28 11:30:28","I","2022-12-05 21:00:00.0","","191259.378434391","444946.729697606","","","","",""
"3220000","322000001020150006","2015-01-22","","01","영업/정상","0000","정상","","","","","02-508-7583","0","","서울특별시 강남구 역삼동 771 101호,102호","서울특별시 강남구 역삼로 234, 101,102호 (역삼동)","06226","드림동물병원","2023-04-20 11:40:08","U","2022-12-03 22:03:00.0","","203662.269980918","443876.666963693","","","","",""
"3170000","317000001020130001","2013-11-27","","01","영업/정상","0000","정상","","","","","853-7582","378","","서울특별시 금천구 독산동 950-3","서울특별시 금천구 남부순환로 1386 (독산동)","08547","우리동물메디컬센터","2023-05-09 15:04:37","U","2022-12-04 23:01:00.0","","191503.35316026","441953.57184435","","","","",""
"3040000","304000001020030003","2003-09-26","","01","영업/정상","0000","정상","","","","","457-4545","125.4","","서울특별시 광진구 구의동 68-37","서울특별시 광진구 광나루로 507 (구의동)","04976","광진동물의료센터","2023-09-27 13:21:50","U","2022-12-08 22:09:00.0","","207526.590151138","449223.749584778","","","","",""
"3020000","302000001020050004","2005-06-24","","01","영업/정상","0000","정상","","","","","792-7602","107.5","","서울특별시 용산구 이태원동 21-1 태광빌딩 1층","서울특별시 용산구 보광로 90, 태광빌딩 1층 (이태원동)","04406","청화종합동물병원","2023-06-28 20:38:22","U","2022-12-05 21:00:00.0","","199561.725326528","447651.513862738","","","","",""
"3230000","323000001020090009","2009-12-02","","01","영업/정상","0000","정상","","","","","02-443-2222","0","","서울특별시 송파구 가락동 137-3 현대빌리지","서울특별시 송파구 동남로 161, 1,2층 (가락동, 현대빌리지)","05826","에코동물병원","2023-07-19 14:12:26","U","2022-12-06 22:01:00.0","","211262.994857358","443408.278406299","","","","",""
"3190000","319000001020080001","20080115","","01","영업/정상","0000","정상","","","","","02-813-7579","132.66","","서울특별시 동작구 대방동 395-4","서울특별시 동작구 상도로 43, 1층 (대방동, 정원빌딩)","06954","피닉스동물병원","2023-01-12 22:15:14","U","2022-11-30 23:04:00.0","","193339.388708545","444203.300907666","","","","",""
"3200000","320000001020100001","2010-05-06","","03","폐업","0002","폐업","2023-04-11","","","","02-861-7582","55","","서울특별시 관악구 신림동 1655-23","서울특별시 관악구 시흥대로 552-1 (신림동)","08768","고려동물병원","2023-04-11 11:17:07","U","2022-12-03 23:03:00.0","","191217.026445816","442233.874417452","","","","",""
"3200000","320000001020030005","2003-07-03","","01","영업/정상","0000","정상","","","","","02-837-8875","0","","서울특별시 관악구 신림동 564-3","서울특별시 관악구 남부순환로 1429 (신림동)","08766","러브펫종합동물병원","2023-05-11 15:50:10","U","2022-12-04 23:03:00.0","","191931.67685502","442114.455572179","","","","",""
"3230000","323000001020130001","2013-05-15","","01","영업/정상","0000","정상","","","","","02-418-0724","0","","서울특별시 송파구 잠실동 175-6 J타워 202호","서울특별시 송파구 올림픽로 76, J타워 202호 (잠실동)","05556","24시잠실ON동물의료센터","2023-04-03 17:54:41","U","2022-12-04 00:05:00.0","","206916.75835","445485.4447736","","","","",""
"3200000","320000001020160001","2016-04-11","","01","영업/정상","0000","정상","","","","","02-887-1575","228.9","","서울특별시 관악구 신림동 10-631","서울특별시 관악구 남부순환로 1678, 1, 2층 (신림동)","08780","이로동물의료센터","2023-06-12 14:59:19","U","2022-12-05 23:04:00.0","","194342.263827145","442448.563337722","","","","",""
"3130000","313000001020140006","20140626","","01","영업/정상","0000","정상","","","","","02-307-3355","0","","서울특별시 마포구 상암동 1655","서울특별시 마포구 상암산로1길 24 (상암동, 월드컵파크 4단지 상가 113-2)","03907","아프지말게 동물병원","2022-04-01 10:34:16","U","2021-12-04 00:03:00.0","","190097.791838986","452827.150591544","","","","",""
"3230000","323000001020210002","20210906","","01","영업/정상","0000","정상","","","","","02-2088-2878","0","","서울특별시 송파구 오금동 95-1 이화빌딩","서울특별시 송파구 중대로 320, 이화빌딩 1층 (오금동)","05720","엘 동물병원","2022-06-24 11:13:09","U","2021-12-05 22:06:00.0","","211776.359911923","445161.729493138","","","","",""
"3220000","322000001020150008","20150217","","01","영업/정상","0000","정상","","","","","02-445-5022","0","","서울특별시 강남구 자곡동 658-105 강남힐스테이트에코","서울특별시 강남구 자곡로 202, 105호 (자곡동, 강남힐스테이트에코)","06373","힐스타동물병원","2022-10-27 13:32:58","U","2021-10-30 22:09:00.0","","209230","441432","","","","",""
"3210000","321000001020210001","2021-05-17","","01","영업/정상","0000","정상","","","","","02-2039-9780","53.3","","서울특별시 서초구 잠원동 72-2 반원상가","서울특별시 서초구 신반포로23길 30, 반원상가 1층 109호 (잠원동)","06510","파파동물병원","2023-04-13 13:53:02","U","2022-12-03 23:05:00.0","","200246.255070605","445174.193878077","","","","",""
"3130000","313000001020130001","20130315","","01","영업/정상","0000","정상","","","","","02-713-8275","0","","서울특별시 마포구 공덕동 385-65 공덕SK리더스뷰","서울특별시 마포구 백범로31길 7, 101동 104,105호 (공덕동, 공덕SK리더스뷰)","04147","힐링 24시 동물병원","2022-04-01 10:37:59","U","2021-12-04 00:03:00.0","","195436.613597001","449233.885686647","","","","",""
"3040000","304000001020110001","20110601","","01","영업/정상","0000","정상","","","","","457-2220","79","","서울특별시 광진구 자양동 553-588","서울특별시 광진구 뚝섬로 541 (자양동)","05070","준동물병원","2023-01-27 14:03:40","U","2022-11-30 22:09:00.0","","206150.655471501","448076.720689255","","","","",""
"3240000","324000001020110001","20110407","","03","폐업","0002","폐업","20220404","","","","426-7509","63","","","서울특별시 강동구 동남로81길 82 (고덕동)","05227","비타민동물병원","2022-04-05 10:53:11","U","2021-12-04 00:07:00.0","","213407.858450981","450765.323166313","","","","",""
"3130000","313000001020070003","20070418","","01","영업/정상","0000","정상","","","","","02-375-7222","0","","서울특별시 마포구 상암동 34-46","서울특별시 마포구 월드컵북로 336 (상암동)","03930","상암동물병원","2022-04-01 10:19:30","U","2021-12-04 00:03:00.0","","190625.002537437","452644.181543234","","","","",""
"3130000","313000001020040007","20040604","","01","영업/정상","0000","정상","","","","","02-323-7582","0","","서울특별시 마포구 동교동 174-14","서울특별시 마포구 신촌로 16 (동교동)","04056","마리동물병원","2022-04-01 10:33:32","U","2021-12-04 00:03:00.0","","193576.474980538","450639.754538572","","","","",""
"3060000","306000001020170001","2017-05-18","","01","영업/정상","0000","정상","","","","","02-6215-3416","413.84","","서울특별시 중랑구 면목동 146-75","서울특별시 중랑구 동일로 640, 지하 2층 (면목동)","02140","로얄동물암치료센터","2023-04-07 17:51:03","U","2022-12-04 00:09:00.0","","207017.81527047","453914.639780644","","","","",""
"3060000","306000001020230001","2023-04-09","","01","영업/정상","0000","정상","","","","","070-8660-0904","455.22","","서울특별시 중랑구 면목동 146-75","서울특별시 중랑구 동일로 640, 2층, 3층 (면목동)","02140","로얄동물메디컬센터 본원","2023-04-09 14:45:39","I","2022-12-03 23:01:00.0","","207017.81527047","453914.639780644","","","","",""
"3120000","312000001020110003","2011-10-18","","01","영업/정상","0000","정상","","","","","02-305-8275","0","","서울특별시 서대문구 북가좌동 304-29","서울특별시 서대문구 거북골로 178 (북가좌동)","03691","가재울봉쥬르동물병원","2023-04-17 16:22:17","U","2022-12-03 23:09:00.0","","192059.635481101","452769.024133072","","","","",""
"3220000","322000001020100006","2010-03-11","","01","영업/정상","0000","정상","","","","","02-3442-5554","0","","서울특별시 강남구 논현동 122-20 1층","서울특별시 강남구 학동로6길 18, 1층 (논현동)","06110","그레이스 동물병원","2023-04-17 15:24:16","U","2022-12-03 23:09:00.0","","202069.849400805","445376.045227751","","","","",""
"3110000","311000001020050004","2005-08-16","","01","영업/정상","0000","정상","","","","","306-8575","0","","서울특별시 은평구 증산동 174-6 103호","서울특별시 은평구 증산로 267, 103호 (증산동)","03500","한수24시동물병원","2023-04-21 14:26:10","U","2022-12-03 22:03:00.0","","191719.641873868","453281.965089313","","","","",""
"3040000","304000001020230001","2003-09-26","","01","영업/정상","0000","정상","","","","","02-457-4545","125.4","","서울특별시 광진구 구의동 68-37","서울특별시 광진구 광나루로 507 (구의동)","04976","광진동물의료센터","2023-07-20 16:50:55","I","2022-12-06 22:02:00.0","","207526.590151138","449223.749584778","","","","",""
"3130000","313000001020090001","2009-10-14","","01","영업/정상","0000","정상","","","","","02-701-7580","1719.21","","서울특별시 마포구 노고산동 40-56 웨스턴5빌딩","서울특별시 마포구 신촌로 110, 웨스턴5빌딩 지하1층, 2층, 지상 1층, 2층, 3층, 4층, 5층, 6층, 지상 8층 (노고산동)","04101","웨스턴 동물의료센터","2023-09-13 13:35:55","U","2022-12-08 23:05:00.0","","194463.425348269","450323.005940637","","","","",""
"3110000","311000001020200002","2020-08-26","","01","영업/정상","0000","정상","","","","","","216.9","","서울특별시 은평구 녹번동 28-1","서울특별시 은평구 통일로 665 (녹번동)","03382","어울동물의료센터","2023-04-12 08:55:34","U","2022-12-03 23:04:00.0","","194068.721660716","455951.192726429","","","","",""
"3230000","323000001020030001","2003-01-21","","01","영업/정상","0000","정상","","","","","02-400-0075","0","","서울특별시 송파구 문정동 150-2 문정프라자","서울특별시 송파구 중대로 80, 문정프라자 (문정동)","05833","펫가든동물병원","2023-04-12 17:05:35","U","2022-12-03 23:04:00.0","","210343.699256005","443288.284974717","","","","",""
"3120000","312000001020050001","2005-05-11","","01","영업/정상","0000","정상","","","","","02-365-7582","0","","서울특별시 서대문구 북아현동 136-21 e편한세상신촌 4단지","서울특별시 서대문구 신촌로35길 10, 지하1층 424호 (북아현동, e편한세상신촌 4단지)","03772","마음을 나누는 동물병원","2023-04-17 16:38:09","U","2022-12-03 23:09:00.0","","","","","","","",""
"3220000","322000001020110010","2011-07-27","","01","영업/정상","0000","정상","","","","","512-3331","388.6","","서울특별시 강남구 삼성동 90-8 스타빌딩","서울특별시 강남구 영동대로 630, 스타빌딩 (삼성동)","06081","중앙동물메디컬센터","2023-07-18 16:33:01","U","2022-12-06 22:00:00.0","","205189.337497555","446031.461621899","","","","",""
"3230000","323000001020200002","2020-03-11","","03","폐업","0002","폐업","2023-07-28","","","","02-555-2272","0","","서울특별시 송파구 송파동 122-7","서울특별시 송파구 가락로 169, 1층 102호 (송파동)","05664","라온펫동물병원","2023-07-28 15:17:33","U","2022-12-06 21:00:00.0","","209999.117811662","444657.925461296","","","","",""
"3060000","306000001020230002","2023-07-21","","01","영업/정상","0000","정상","","","","","070-8660-0936","602.02","","서울특별시 중랑구 면목동 146-75","서울특별시 중랑구 동일로 640, 지하1, 지상4층 (면목동)","02140","로얄동물외과수술센터","2023-08-04 16:51:49","U","2022-12-08 00:06:00.0","","207017.81527047","453914.639780644","","","","",""
"3130000","313000001020000001","20000211","","01","영업/정상","0000","정상","","","","","02-325-2026","0","","서울특별시 마포구 합정동 411-18","서울특별시 마포구 독막로 45 (합정동)","04047","홍익동물종합병원","2022-04-01 10:23:39","U","2021-12-04 00:03:00.0","","192718.114424391","449540.231736981","","","","",""
"3020000","302000001020230001","2023-02-01","","01","영업/정상","0000","정상","","","","","027925455","39.37","","서울특별시 용산구 이촌동 300-23 한강맨션","서울특별시 용산구 이촌로 248, 31동 105-2호 (이촌동, 한강맨션)","04426","이상윤동물병원","2023-03-13 13:57:10","U","2022-12-02 23:05:00.0","","197722.571038558","446344.591216568","","","","",""
"3150000","315000001020170001","2017-03-06","","01","영업/정상","0000","정상","","","","","2661-7515","0","","서울특별시 강서구 마곡동 747 1014동 103호","서울특별시 강서구 마곡중앙1로 72, 1014동 103호 (마곡동, 마곡엠밸리10단지)","07629","마곡나무 동물병원","2023-04-18 14:10:35","U","2022-12-03 22:00:00.0","","183968.906835987","450822.830988735","","","","",""
"3110000","311000001020120001","2012-02-13","","01","영업/정상","0000","정상","","","","","02-359-2020","0","","서울특별시 은평구 대조동 187-24","서울특별시 은평구 통일로 817 (대조동)","03385","Dr.윤24시동물병원","2023-04-20 17:01:30","U","2022-12-03 22:03:00.0","","193147.639432277","457137.15515349","","","","",""
"3180000","318000001020230001","2023-04-17","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 영등포구 문래동3가 77-45","서울특별시 영등포구 선유로 52, 1층 우측호 (문래동3가)","07295","김앤정동물병원","2023-04-24 15:47:29","U","2022-12-03 22:06:00.0","","190148.374147923","446256.213232429","","","","",""
"3140000","314000001020200002","2020-05-08","","01","영업/정상","0000","정상","","","","","02-2607-7582","61.52","","서울특별시 양천구 신월동 1002-3","서울특별시 양천구 신월로 124, 1층 (신월동)","08047","신월동물병원","2023-04-27 09:55:53","U","2022-12-03 22:09:00.0","","185586.445641247","446018.063168796","","","","",""
