시군구명,영업내용,사업장명칭,소재지 주소(지번),소재지 주소(도로명),신고일자,관리부서,관리부서 전화번호,데이터기준일
서울특별시 강남구,동물 ( 판매 ),청담펫츠,서울특별시 강남구 논현동 102-19 한솔빌딩 1층 ,"서울특별시 강남구 선릉로 737, 한솔빌딩 1층 (논현동)",2019-10-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),스누피독 miniteacuppuppy,서울특별시 강남구 신사동 517-14 ,서울특별시 강남구 강남대로156길 31-7 (신사동),2019-11-07,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),제이제이캣,서울특별시 강남구 논현동 195 2층 201호,"서울특별시 강남구 강남대로118길 70, 2층 201호 (논현동)",2019-12-17,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),브리더클럽,서울특별시 강남구 대치동 955-6 H 복합빌딩 4층 ,"서울특별시 강남구 역삼로83길 24, H 복합빌딩 4층 (대치동)",2020-01-07,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),강남고양이분양 네발하우스,서울특별시 강남구 논현동 256-14 ,"서울특별시 강남구 봉은사로47길 59, 2층 (논현동)",2020-02-13,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),아이조아요양보호소 강남점,서울특별시 강남구 논현동 256-14 ,"서울특별시 강남구 봉은사로47길 59, B1층 (논현동)",2020-02-13,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),강남고양이분양 묘연,서울특별시 강남구 신사동 569-24 ,"서울특별시 강남구 논현로163길 9-6, 제이엔와이빌딩 1층 (신사동)",2020-05-27,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),(주)요기독 강아지랑 고양이랑 강남본점,서울특별시 강남구 역삼동 792-3 ,"서울특별시 강남구 역삼로14길 15, 1층 (역삼동)",2020-06-11,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),줄리캣,서울특별시 강남구 논현동 198-20 ,"서울특별시 강남구 강남대로112길 11, 지하1층 (논현동)",2020-06-25,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),에이컷,서울특별시 강남구 삼성동 125-6 ,"서울특별시 강남구 테헤란로77길 52, 지하1층 (삼성동)",2020-07-03,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),아담스펫 강아지&가필드 고양이,서울특별시 강남구 신사동 566-18 ,서울특별시 강남구 논현로157길 18 (신사동),2020-08-03,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),반려동물생활연구소 압구정점,서울특별시 강남구 신사동 549-1 타워빌딩 ,"서울특별시 강남구 압구정로 134, 타워빌딩 1층, 2층 (신사동)",2020-11-05,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),강남고양이분양 호야캣,서울특별시 강남구 대치동 910-16 ,"서울특별시 강남구 역삼로70길 5, 1층 (대치동)",2020-11-25,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),주식회사 디어마이퍼피 강아지분양 강남본점,서울특별시 강남구 삼성동 46-11 ,"서울특별시 강남구 선릉로112길 65, PAX BLDG 1층 (삼성동)",2021-02-09,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),미유펫 강아지고양이 강남점,서울특별시 강남구 논현동 49-9 ,"서울특별시 강남구 학동로1길 19, 1층 (논현동)",2021-04-15,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),비블캣,서울특별시 강남구 신사동 519-15 ,"서울특별시 강남구 도산대로11길 43, 2층 (신사동)",2021-04-23,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),퍼피랩 익스클루시브,서울특별시 강남구 청담동 96-1 ,"서울특별시 강남구 도산대로75길 25, 1층 (청담동)",2021-07-27,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),멍블랑 강아지 강남점,서울특별시 강남구 역삼동 723-31 역삼동제이빌딩 ,"서울특별시 강남구 언주로85길 23-10, 역삼동제이빌딩 1층 (역삼동)",2021-07-28,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),러브앤캣,서울특별시 강남구 역삼동 799-18 ,"서울특별시 강남구 논현로63길 25, 1층 102호 (역삼동)",2021-08-09,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),올리푸들,서울특별시 강남구 개포동 1206-3 ,"서울특별시 강남구 개포로28길 20, 1층 (개포동)",2021-08-10,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),algok kennel(알곡켄넬),서울특별시 강남구 청담동 122-4 성영파크빌라 ,"서울특별시 강남구 도산대로85길 18, 1층 (청담동, 성영파크빌라)",2021-09-08,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 수입 ),퍼피랩 익스클루시브,서울특별시 강남구 청담동 96-1 ,서울특별시 강남구 도산대로75길 25 (청담동),2020-08-10,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 수입 ),썸퍼피,서울특별시 강남구 논현동 16-31 ,서울특별시 강남구 도산대로8길 22 (논현동),2021-03-24,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 수입 ),algok kennel(알곡켄넬),서울특별시 강남구 청담동 122-4 성영파크빌라 ,"서울특별시 강남구 도산대로85길 18, 1층 (청담동, 성영파크빌라)",2021-09-08,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 전시 ),강아지똥,서울특별시 강남구 논현동 170 스페이스모노빌딩 2층 ,"서울특별시 강남구 논현로115길 71, 스페이스모노빌딩 2층 (논현동)",2018-05-28,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 전시 ),두젠틀(DOGENTLE),서울특별시 강남구 역삼동 667-10 강남제일병원 별관 지하1층 ,"서울특별시 강남구 논현로 534, 강남제일병원 별관 지하1층 (역삼동)",2018-08-06,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 전시 ),고양이라 좋은 날,서울특별시 강남구 역삼동 817-38 5층 ,"서울특별시 강남구 강남대로98길 28, 5층 (역삼동)",2019-12-02,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 전시 ),Pet.J,서울특별시 강남구 청담동 93-10 ,서울특별시 강남구 압구정로80길 36 (청담동),2020-03-05,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 전시 ),히히냥냥,서울특별시 강남구 역삼동 619-4 장연빌딩 501호,"서울특별시 강남구 강남대로102길 14, 장연빌딩 501호 (역삼동)",2020-04-28,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 전시 ),집사의하루 강남점,서울특별시 강남구 역삼동 813-3 ,"서울특별시 강남구 봉은사로4길 32, 3층 (역삼동)",2020-06-09,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),캣틀리에,서울특별시 강남구 대치동 955-6 H 복합빌딩 4층 ,"서울특별시 강남구 역삼로83길 24, H 복합빌딩 4층 (대치동)",2018-04-24,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),퍼피스쿨,서울특별시 강남구 삼성동 160-21 동화빌딩 4층 ,"서울특별시 강남구 봉은사로104길 10, 동화빌딩 4층 (삼성동)",2018-05-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),멍멍스토리,서울특별시 강남구 논현동 170 2층 ,"서울특별시 강남구 논현로115길 71, 스페이스모노빌딩 2층 (논현동)",2018-05-23,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),아지케어,서울특별시 강남구 논현동 180-17 2층 ,"서울특별시 강남구 강남대로118길 53, 2층 (논현동)",2018-06-19,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),강남강아지,서울특별시 강남구 역삼동 724-45 202호,"서울특별시 강남구 언주로79길 14, 202호 (역삼동)",2018-07-13,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),치료멍멍동물병원,"서울특별시 강남구 신사동 630-23 삼공빌딩, 2,3층 ","서울특별시 강남구 도산대로 309, 삼공빌딩 2,3층 (신사동)",2018-07-27,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),두젠틀(DOGENTLE),서울특별시 강남구 역삼동 667-10 강남제일병원 별관 지하1층 ,"서울특별시 강남구 논현로 534, 강남제일병원 별관 지하1층 (역삼동)",2018-08-07,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),퍼플퍼피,서울특별시 강남구 신사동 550-19 ,서울특별시 강남구 압구정로18길 14 (신사동),2018-08-10,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),까르텔,서울특별시 강남구 신사동 522-6 신광빌딩 202호,"서울특별시 강남구 강남대로162길 21, 신광빌딩 202호 (신사동)",2018-08-14,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),라라캣,서울특별시 강남구 역삼동 742-27 1층 ,"서울특별시 강남구 역삼로9길 24, 1층 (역삼동)",2018-08-15,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),닥터그레이동물병원,서울특별시 강남구 도곡동 467-7 아카데미스위트 104호,"서울특별시 강남구 언주로30길 21, 104호 (도곡동, 아카데미스위트)",2018-08-30,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),가로수동물병원,서울특별시 강남구 신사동 549-1 타워빌딩 108호,"서울특별시 강남구 압구정로 134, 타워빌딩 108호 (신사동)",2018-09-03,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),주식회사 중앙동물메디컬센터,서울특별시 강남구 논현동 277-21 미래빌딩 ,"서울특별시 강남구 봉은사로 315, 미래빌딩 (논현동)",2018-09-05,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),Kindergarten for dog,서울특별시 강남구 논현동 186-7 네트빌 1층 101호,"서울특별시 강남구 강남대로114길 33, 1층 101호 (논현동, 네트빌)",2018-09-13,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),봄사랑동물병원,서울특별시 강남구 압구정동 455 현대아파트 203호,"서울특별시 강남구 압구정로29길 68, 203호 (압구정동, 현대아파트)",2018-09-14,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),퍼피즌동물병원,서울특별시 강남구 삼성동 34-3 키스톤빌딩 ,"서울특별시 강남구 선릉로 636, 키스톤빌딩 1층 (삼성동)",2018-09-17,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),멈미스,서울특별시 강남구 청담동 132-15 103호,"서울특별시 강남구 학동로101길 19, 103호 (청담동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),그루밍캣 압구정점,서울특별시 강남구 신사동 571-4 유앤아이빌딩 4층 ,"서울특별시 강남구 압구정로20길 24, 유앤아이빌딩 4층 (신사동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),스마트동물병원,서울특별시 강남구 대치동 898 1층 ,"서울특별시 강남구 선릉로 418, 1층 (대치동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),PET.꾸밈,서울특별시 강남구 자곡동 56-120 강남블루지움 106호,"서울특별시 강남구 밤고개로 219, 강남블루지움 106호 (자곡동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),이리온동물병원,서울특별시 강남구 청담동 97 M빌딩 1층(일부) ,"서울특별시 강남구 도산대로 445, M빌딩 (일부)1층 (청담동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),압구정웰동물병원,서울특별시 강남구 신사동 528-3 덕산빌딩 203호,"서울특별시 강남구 압구정로 108, 덕산빌딩 203호 (신사동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),예은동물병원,서울특별시 강남구 역삼동 798-20 정금빌딩 1층 ,"서울특별시 강남구 도곡로 189, 정금빌딩 1층 (역삼동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),봉브라더스,서울특별시 강남구 논현동 181-12 2층 ,"서울특별시 강남구 강남대로118길 39, 2층 (논현동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),24시스마트동물병원(신사본점),서울특별시 강남구 신사동 587-13 1층 ,"서울특별시 강남구 도산대로 213, 1층 (신사동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),대치성심동물병원,서울특별시 강남구 대치동 623 남서울종합상가 169-1호,"서울특별시 강남구 남부순환로 2921, 남서울종합상가 169-1호 (대치동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),개러리아,서울특별시 강남구 삼성동 9-16 ,서울특별시 강남구 선릉로122길 4(삼성동),2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),압구정메이트동물병원,"서울특별시 강남구 신사동 660-7 1,2층 ","서울특별시 강남구 압구정로 332, 1,2층 (신사동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),대치수동물병원,서울특별시 강남구 대치동 316 은마아파트 은마상가 B블럭 120~121호 ,"서울특별시 강남구 삼성로 212, 120~121호 (대치동, 은마아파트)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),선릉동물병원,서울특별시 강남구 역삼동 694-11 연안이씨빌딩 ,"서울특별시 강남구 선릉로 533, 연안이씨빌딩 1층 (역삼동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),청담아이윌동물병원,서울특별시 강남구 청담동 46-13 ,서울특별시 강남구 학동로 437 (청담동),2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),아지원,서울특별시 강남구 청담동 58-12 1층 ,"서울특별시 강남구 도산대로96길 13, 1층 (청담동)",2018-09-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),마더스동물병원,서울특별시 강남구 세곡동 581 강남리더스프라자 202-1호,"서울특별시 강남구 헌릉로 569, 강남리더스프라자 202-1호 (세곡동)",2018-10-11,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),더왈츠앤조이피아,서울특별시 강남구 역삼동 834-8 MS빌딩 1층 ,"서울특별시 강남구 역삼로 134, MS빌딩 1층 (역삼동)",2018-10-17,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),강남다온동물병원,서울특별시 강남구 도곡동 545-6 1층 ,"서울특별시 강남구 도곡로 174, 1층 (도곡동)",2018-10-24,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),와이즈24시동물병원,서울특별시 강남구 논현동 123-5 ,서울특별시 강남구 학동로6길 7 (논현동),2018-11-20,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),강남25시동물병원,서울특별시 강남구 논현동 240-1 1층 ,"서울특별시 강남구 학동로 324, 1층 (논현동)",2018-11-20,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),도곡종합동물병원,서울특별시 강남구 역삼동 761-18 강남프라자 105호,"서울특별시 강남구 언주로 314, 강남프라자 105호 (역삼동)",2018-11-26,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),주주동물종합병원,서울특별시 강남구 대치동 898-8 1층 ,"서울특별시 강남구 선릉로 412, 1층 (대치동)",2018-11-27,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),필스타 단(FEELSTAR DAAN),서울특별시 강남구 역삼동 698-6 꿈꾸지오 다세대주택 지층 ,"서울특별시 강남구 테헤란로53길 57-17, 지층 (역삼동, 꿈꾸지오 다세대주택)",2018-12-06,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),24시신사동물용품,서울특별시 강남구 논현동 59-5 진성빌딩 ,"서울특별시 강남구 도산대로 206, 진성빌딩 (논현동)",2018-12-07,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),비안코이탈리아,서울특별시 강남구 청담동 118-12 지하1층 ,"서울특별시 강남구 도산대로81길 19, 지하1층 (청담동)",2018-12-12,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),펑키코코살롱,서울특별시 강남구 삼성동 26-34 ,서울특별시 강남구 삼성로115길 42 (삼성동),2018-12-12,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),자곡퍼스트동물의료센터,서울특별시 강남구 자곡동 636 서강플라자 2층 201호,"서울특별시 강남구 자곡로 114, 서강플라자 2층 201호 (자곡동)",2018-12-26,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),하룻강아지,서울특별시 강남구 개포동 1259-8 남강빌딩 1층 ,"서울특별시 강남구 개포로 251, 남강빌딩 1층 (개포동)",2019-01-02,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),도기도기,서울특별시 강남구 논현동 158-24 1층 ,"서울특별시 강남구 학동로20길 63-2, 1층 (논현동)",2019-01-08,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),래이동물의료센터,서울특별시 강남구 대치동 649 성보2빌딩 1층 ,"서울특별시 강남구 남부순환로 2911-1, 성보2빌딩 1층 (대치동)",2019-02-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),힐스타동물병원,서울특별시 강남구 자곡동 658 강남힐스테이트에코 105호,"서울특별시 강남구 자곡로 202, 강남힐스테이트에코 105호 (자곡동)",2019-02-20,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),반려문화,서울특별시 강남구 논현동 85-13 1-2층 ,"서울특별시 강남구 언주로133길 23, 1-2층 (논현동)",2019-03-20,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),짐더독,서울특별시 강남구 도곡동 452 ,"서울특별시 강남구 논현로26길 28, 석천빌딩 지하1층 (도곡동)",2019-03-20,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),수서동물병원,서울특별시 강남구 수서동 595-18 제이스프라자 109호,"서울특별시 강남구 광평로 196, 제이스프라자 109호 (수서동)",2019-03-26,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),수정동물병원,서울특별시 강남구 일원동 719 푸른마을아파트 상가동 102호,"서울특별시 강남구 일원로14길 25, 상가동 102호 (일원동, 푸른마을아파트)",2019-04-04,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),개포별빛동물병원,서울특별시 강남구 개포동 1229-11 동성빌딩 1층 ,"서울특별시 강남구 논현로 70, 동성빌딩 1층 (개포동)",2019-04-08,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),그레이스펫그루밍스튜디오,서울특별시 강남구 논현동 96-8 1층 ,"서울특별시 강남구 언주로148길 31-2, 1층 (논현동)",2019-04-11,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),논현애견샾,서울특별시 강남구 논현동 181-8 1층 ,"서울특별시 강남구 강남대로118길 47, 1층 (논현동)",2019-04-16,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),24시청담우리동물병원,서울특별시 강남구 삼성동 70-6 1층 ,"서울특별시 강남구 삼성로 614, 1층 (삼성동)",2019-04-29,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),블리스독,서울특별시 강남구 신사동 660-2 207호,"서울특별시 강남구 압구정로 326, 207호 (신사동)",2019-04-30,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),묘랑묘랑 강남점,서울특별시 강남구 삼성동 44-1 301호,"서울특별시 강남구 선릉로112길 46, 301호 (삼성동)",2019-05-09,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),엘리스펫,서울특별시 강남구 대치동 906-16 신호빌딩 1층 ,"서울특별시 강남구 선릉로76길 40, 신호빌딩 1층 (대치동)",2019-05-20,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),꿈에 개린,서울특별시 강남구 역삼동 835-6 송현빌딩 2층 ,"서울특별시 강남구 도곡로7길 8, 송현빌딩 2층 (역삼동)",2019-05-23,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),츄츄동물병원,서울특별시 강남구 역삼동 834-66 이루미 1층 ,"서울특별시 강남구 논현로67길 56, 이루미 1층 (역삼동)",2019-05-29,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 위탁관리 ),에이드동물병원,서울특별시 강남구 신사동 586-3 영석빌딩 1층 ,"서울특별시 강남구 논현로 813, 영석빌딩 1층 (신사동)",2019-05-30,지역경제과,02-3423-5518,2022-09-22
