아이디,관리번호,공원명,공원구분,소재지 도로명주소,소재지 지번주소,읍면동명,읍면동아이디,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,특이사항,데이터 기준일자,좌표,이미지명
PC038,11470-00057,금실어린이공원,어린이공원,,서울특별시 양천구 신월동 985,신월7동,11150630,37.518107,126.837347,3476.54,야외헬스형운동기구5개,조합놀이터+흔들놀이기구3개,,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.837347 37.518107),PC038.jpeg
PC039,11470-00056,아동어린이공원,어린이공원,,서울특별시 양천구 신월동 922-1,신월7동,11150630,37.523108,126.833341,1487.46,야외헬스형운동기구5개,그네+조합놀이터+흔들놀이기구,정자,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.833341 37.523108),PC039.jpeg
PC040,11470-00061,개나리어린이공원,어린이공원,,서울특별시 양천구 신정동 312-2,신정1동,11150640,37.517726,126.862761,2716.59,야외헬스형운동기구4개,그네+조합놀이터,파고라,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.862761 37.517726),PC040.jpeg
PC041,11470-00060,꽃사과어린이공원,어린이공원,,서울특별시 양천구 신정동 313-2,신정1동,11150640,37.520132,126.86468,2590.58,,그네2개+조합놀이터2개+흔들놀이기구5개,파고라2개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.86468 37.520132),PC041.jpeg
PC042,11470-00062,꿈나무어린이공원,어린이공원,,서울특별시 양천구 신정동 311-1,신정1동,11150640,37.517693,126.858437,2780.24,야외헬스형운동기구3개,그네+조합놀이터+흔들놀이기구2개,파고라3개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.858437 37.517693),PC042.jpeg
PC043,11470-00063,단지어린이공원,어린이공원,,서울특별시 양천구 신정동 1323-1,신정1동,11150640,37.519825,126.854312,4500.96,야외헬스형운동기구2개,그네+기타놀이기구+조합놀이터+흔들놀이기구3개,음수대+파고라,,,2016-05-26,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.854312 37.519825),PC043.jpeg
PC044,11470-00059,양명어린이공원,어린이공원,,서울특별시 양천구 신정동 1050-3,신정1동,11150640,37.519266,126.854492,726.88,야외헬스형운동기구7개,흔들놀이기구,,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.854492 37.519266),PC044.jpeg
PC045,11470-00058,해태어린이공원,어린이공원,,서울특별시 양천구 신정동 1017-5,신정1동,11150640,37.521708,126.861996,1020.31,야외헬스형운동기구4개,기타놀이기구+미끄럼틀2개,,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.861996 37.521708),PC045.jpeg
PC046,11470-00064,신세계어린이공원,어린이공원,,서울특별시 양천구 신정동 119-3,신정2동,11150650,37.521716,126.875912,2010.07,야외헬스형운동기구3개,건너는기구+오르는기구2개+조합놀이터2개,파고라+피크닉테이블,,,2009-07-16,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.875912 37.521716),PC046.jpeg
PC047,11470-00065,신정어린이공원,어린이공원,,서울특별시 양천구 신정동 128-19,신정2동,11150650,37.520501,126.874747,364.62,,조합놀이터+흔들놀이기구,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.874747 37.520501),PC047.jpeg
PC048,11470-00066,꽃사슴어린이공원,어린이공원,,서울특별시 양천구 신정동 1195,신정3동,11150660,37.52177,126.848515,940.61,야외헬스형운동기구4개,그네+조합놀이터+회전놀이기구+흔들놀이기구,파고라,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.848515 37.521770),PC048.jpeg
PC049,11470-00071,넓은들어린이공원,어린이공원,,서울특별시 양천구 신정동 767,신정3동,11150660,37.511144,126.839205,16232.73,족구장,건너는기구+기타놀이기구+미끄럼틀+오르는기구3개+회전놀이기구+흔들놀이기구2개,,,관리사무소+지압길,2005-10-25,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.839205 37.511144),PC049.jpeg
PC050,11470-00073,숲속어린이공원,어린이공원,,서울특별시 양천구 신정동 1322-1,신정3동,11150660,37.514682,126.830002,,야외헬스형운동기구3개,오르는기구+흔들놀이기구2개,파고라3개,,조경시설,2005-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.830002 37.514682),PC050.jpeg
PC051,11470-00067,신기어린이공원,어린이공원,,서울특별시 양천구 신정동 1260,신정3동,11150660,37.514055,126.854326,1699.76,야외헬스형운동기구4개,그네+조합놀이터,파고라2개,,,2000-04-28,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.854326 37.514055),PC051.jpeg
PC052,11470-00069,신이어린이공원,어린이공원,,서울특별시 양천구 신정동 1284-1,신정3동,11150660,37.512554,126.837592,1010.25,야외헬스형운동기구4개,기타놀이기구+미끄럼틀+조합놀이터+흔들놀이기구,음수대+파고라,,,2002-06-25,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.837592 37.512554),PC052.jpeg
PC053,11470-00068,푸른어린이공원,어린이공원,,서울특별시 양천구 신정동 1283-1,신정3동,11150660,37.511281,126.837884,1660.76,야외헬스형운동기구3개,조합놀이터+흔들놀이기구,,,수경시설+측우기,2002-06-25,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.837884 37.511281),PC053.jpeg
PC054,11470-00072,하늘마루어린이공원,어린이공원,,서울특별시 양천구 신정동 1316-2,신정3동,11150660,37.512645,126.83173,2228.29,,오르는기구2개+조합놀이터,파고라,,,2005-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.831730 37.512645),PC054.jpeg
PC055,11470-00070,학마을어린이공원,어린이공원,,서울특별시 양천구 신정동 1293-4,신정3동,11150660,37.509022,126.84361,2824.82,야외헬스형운동기구4개,그네+조합놀이터+흔들놀이기구2개,파고라2개,,,1997-03-26,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.843610 37.509022),PC055.jpeg
PC056,11470-00081,동개울어린이공원,어린이공원,,서울특별시 양천구 신정동 876-1,신정4동,11150720,37.527975,126.856515,1052.26,야외헬스형운동기구6개,그네+조합놀이터+트램펄린,파고라,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.856515 37.527975),PC056.jpeg
PC057,11470-00075,새뚝어린이공원,어린이공원,,서울특별시 양천구 신정동 955-1,신정4동,11150720,37.524125,126.857773,1025.41,야외헬스형운동기구7개,조합놀이터,음수대+정자,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.857773 37.524125),PC057.jpeg
PC059,11470-00076,안산어린이공원,어린이공원,,서울특별시 양천구 신정동 949-4,신정4동,11150720,37.524624,126.856207,964.67,야외헬스형운동기구2개,그네+조합놀이터2개,음수대+파고라,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.856207 37.524624),PC059.jpeg
PC060,11470-00079,앞산어린이공원,어린이공원,,서울특별시 양천구 신정동 910-9,신정4동,11150720,37.526441,126.858394,1002.22,야외헬스형운동기구5개,그네+조합놀이터,파고라,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.858394 37.526441),PC060.jpeg
PC061,11470-00078,오구어린이공원,어린이공원,,서울특별시 양천구 신정동 888-1,신정4동,11150720,37.527327,126.861956,702.89,야외헬스형운동기구7개,그네+조합놀이터,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.861956 37.527327),PC061.jpeg
PC062,11470-00074,은행정어린이공원,어린이공원,,서울특별시 양천구 신정동 975-30,신정4동,11150720,37.522057,126.855005,1016.27,야외헬스형운동기구4개,그네+조합놀이터+흔들놀이기구2개,정자,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.855005 37.522057),PC062.jpeg
PC063,11470-00080,음골어린이공원,어린이공원,,서울특별시 양천구 신정동 936-13,신정4동,11150720,37.52741,126.851241,872.58,야외헬스형운동기구5개,건너는기구+그네+조합놀이터+트램펄린,파고라,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.851241 37.527410),PC063.jpeg
PC064,11470-00083,진주어린이공원,어린이공원,,서울특별시 양천구 신정동 920-3,신정4동,11150720,37.526554,126.855049,782.74,야외헬스형운동기구4개,조합놀이터,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.855049 37.526554),PC064.jpeg
PC065,11470-00082,홍익어린이공원,어린이공원,,서울특별시 양천구 신정동 896-22,신정4동,11150720,37.528578,126.862293,1000.27,야외헬스형운동기구3개,그네+조합놀이터+흔들놀이기구4개,정자,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.862293 37.528578),PC065.jpeg
PC066,11470-00088,기린어린이공원,어린이공원,,서울특별시 양천구 신정동 330-1,신정6동,11150690,37.51367,126.872445,2449.46,야외헬스형운동기구5개,그네+조합놀이터+흔들놀이기구,파고라2개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.872445 37.513670),PC066.jpeg
PC067,11470-00086,까치어린이공원,어린이공원,,서울특별시 양천구 신정동 328-1,신정6동,11150690,37.515011,126.86832,1505.28,야외헬스형운동기구4개,그네+조합놀이터+흔들놀이기구,파고라3개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.868320 37.515011),PC067.jpeg
PC068,11470-00087,꿈나래어린이공원,어린이공원,,서울특별시 양천구 신정동 329-2,신정6동,11150690,37.51636,126.869759,962.11,,그네+조합놀이터+흔들놀이기구,파고라 2개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.869759 37.516360),PC068.jpeg
PC069,11470-00084,꿈동산어린이공원,어린이공원,,서울특별시 양천구 신정동 314-1,신정6동,11150690,37.521958,126.867486,1067.11,야외헬스형운동기구3개,조합놀이터+흔들놀이기구,파고라,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.867486 37.521958),PC069.jpeg
PC070,11470-00085,다람쥐어린이공원,어린이공원,,서울특별시 양천구 신정동 327-1,신정6동,11150690,37.513486,126.866086,2640.89,야외헬스형운동기구6개,그네,정자+파고라2개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.866086 37.513486),PC070.jpeg
PC071,11470-00089,사슴어린이공원,어린이공원,,서울특별시 양천구 신정동 332-1,신정6동,11150690,37.515706,126.873442,2403,,그네2개+조합놀이터+흔들놀이기구3개,음수대+파고라3개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.873442 37.515706),PC071.jpeg
PC072,11470-00090,목련어린이공원,어린이공원,,서울특별시 양천구 신정동 325-2,신정7동,11150700,37.511472,126.858392,246.51,야외헬스형운동기구3개,미끄럼틀2개+오르는기구4개,파고라,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.858392 37.511472),PC072.jpeg
PC073,11470-00092,세양어린이공원,어린이공원,,서울특별시 양천구 신정동 1306-2,신정7동,11150700,37.506788,126.864108,1356.02,야외헬스형운동기구4개,건너는기구+미끄럼틀+조합놀이터,음수대,,,2006-07-20,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.864108 37.506788),PC073.jpeg
PC074,11470-00091,호돌이어린이공원,어린이공원,,서울특별시 양천구 신정동 326-2,신정7동,11150700,37.512595,126.861548,1262.72,야외헬스형운동기구1개,건너는기구+그네+오르는기구2개+조합놀이터2개,정자+파고라,,수경시설,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.861548 37.512595),PC074.jpeg
PN001,11470-00002,오목공원,근린공원,,서울특별시 양천구 목동 921,목1동,11150510,37.528005,126.873279,21512.36,야외헬스형운동기구27개+농구장+배드민턴장2개,조합놀이터+흔들놀이기구,음수대+파고라4개+화장실,야외무대,관리사무소+수경시설,1983-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.873279 37.528005),PN001.jpeg
PN002,11470-00005,달마을근린공원,근린공원,,서울특별시 양천구 목동 946-1,목2동,11150520,37.543498,126.868468,,야외헬스형운동기구32개,건너는기구2개,파고라2개+피크닉테이블4개,,관리사무소+수경시설+조경시설,2003-10-30,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.868468 37.543498),PN002.jpeg
PN003,11470-00004,목동공원,근린공원,,서울특별시 양천구 목동 517,목2동,11150520,37.546521,126.879263,12427.08,야외헬스형운동기구20개,건너는기구2개+그네+조합놀이터3개,음수대+정자+파고라5개+피크닉테이블4개+화장실,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.879263 37.546521),PN003.jpeg
PN004,11470-00003,용왕산공원,근린공원,,서울특별시 양천구 목동 199-51,목2동,11150520,37.543358,126.878788,,야외헬스형운동기구145개+게이트볼장+다목적운동장+배드민턴장2개,건너는기구3개+그네+조합놀이터4개+흔들놀이기구6개+오르는기구,약수터+음수대2개+정자8개+파고라4개+평상8개+피크닉테이블2개+화장실5개,도서관+야외무대+유아동네숲터2개,관리사무소2개+다목적실+반려견쉼터+수경시설+용왕산숲속활력소+지압길+흙먼지털이기,1971-08-06,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.878788 37.543358),PN004.jpeg
PN005,11470-00007,목마공원,근린공원,,서울특별시 양천구 목동 910,목5동,11150710,37.538174,126.885602,10914.74,야외헬스형운동기구7개+게이트볼장4개+다목적운동장,,음수대+파고라3개+화장실,,관리사무소+지압길,1983-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.885602 37.538174),PN005.jpeg
PN006,11470-00008,곰달래근린공원,근린공원,,서울특별시 양천구 신월동 904-1,신월7동,11150630,37.524905,126.833211,9186.16,야외헬스형운동기구8개,,파고라,,,1993-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.833211 37.524905),PN006.jpeg
PN007,11470-00012,독서공원,근린공원,,서울특별시 양천구 신월동 987,신월7동,11150630,37.519757,126.83485,17985.17,야외헬스형운동기구26개,,파고라4개+피크닉테이블3개+화장실,,관리사무소,1983-02-10,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.834850 37.519757),PN007.jpeg
PN008,11470-00015,신월공원,근린공원,,서울특별시 양천구 신월동 987-2,신월7동,11150630,37.518137,126.834492,,야외헬스형운동기구36개+다목적운동장,,음수대2개+정자2개+파고라2개+화장실,,지압길,1987-12-08,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.834492 37.518137),PN008.jpeg
PN009,11470-00009,양지근린공원,근린공원,,서울특별시 양천구 신월동 936,신월7동,11150630,37.5222,126.831005,8544.07,야외헬스형운동기구10개,건너는기구+그네+오르는기구+조합놀이터,음수대+정자+파고라+화장실,,,1993-12-29,양천구 공원녹지과,02-2620-3570,,2022-11-10,POINT(126.831005 37.522200),PN009.jpeg
