"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3140000","314000001120170006","20170616","","01","영업/정상","0000","정상","","","","","","","","","서울특별시 양천구 곰달래로5길 30 (신월동, 은성아파트)","07922","온누리조은약국","2017-06-16 08:46:24","I","2018-08-31 23:59:59.0","","185214.1358482      ","447808.60383603     ","동물약국","","","000",""
"3140000","314000001120170007","20170622","","01","영업/정상","0000","정상","","","","","2645-7197","","","서울특별시 양천구 목동 603-5번지 ","서울특별시 양천구 공항대로 558, 1층 (목동)","07946","새서울온누리약국","2019-08-27 18:15:14","U","2019-08-29 02:40:00.0","","188212.125472688    ","449668.428997479    ","동물약국","","","000",""
"3140000","314000001120180002","20180112","","01","영업/정상","0000","정상","","","","","0226443903","","","서울특별시 양천구 목동 810-1번지 타운빌딩 105호","서울특별시 양천구 목동로 210, 타운빌딩 105호 (목동)","07993","목동즐거운약국","2018-01-12 14:07:15","I","2018-08-31 23:59:59.0","","187948.252898047    ","447246.938313599    ","동물약국","","","000",""
"3140000","314000001120180003","20180222","","01","영업/정상","0000","정상","","","","","2605-3368","","","서울특별시 양천구 신정동 1320-4 이펜하우스타워 105호","서울특별시 양천구 신정이펜2로 12, 이펜하우스타워 105호 (신정동)","08049","이펜약국","2020-10-08 14:06:57","U","2020-10-10 02:40:00.0","","185143.375565775    ","445610.277402204    ","동물약국","","","000",""
"3140000","314000001120180005","20180510","","01","영업/정상","0000","정상","","","","","2653-6788","0","","서울특별시 양천구 목동 611-4 ","서울특별시 양천구 목동중앙북로 13-1 (목동)","07946","창대온누리약국","2021-06-09 10:14:42","U","2021-06-11 02:40:00.0","","188014.925269664    ","449599.975407779    ","동물약국","","","000",""
"3140000","314000001120180008","20181226","","01","영업/정상","0000","정상","","","","","02-889-3573","","","서울특별시 양천구 목동 406-21번지 ","서울특별시 양천구 오목로 325, 대학빌딩 지하1층 105호 (목동)","08000","송약국","2018-12-26 13:48:58","I","2018-12-28 02:20:30.0","","188767.584299319    ","446998.232038717    ","동물약국","","","000",""
"3140000","314000001120190001","20190107","","01","영업/정상","0000","정상","","","","","0226508828","0","","서울특별시 양천구 신정동 321-6번지 센트럴프라자 ","서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)","08095","가까운온누리약국","2019-01-07 13:30:10","I","2019-01-09 02:20:58.0","","188039.543424546    ","446149.197185122    ","동물약국","","","000",""
"3140000","314000001120190006","20190422","","01","영업/정상","0000","정상","","","","","032-327-9075","","","서울특별시 양천구 신월동 961-5번지 남영상가 1층 ","서울특별시 양천구 지양로 74, 남영상가 1층 (신월동)","08039","양천뿌리약국","2019-04-22 18:26:31","I","2019-04-24 02:20:29.0","","185239.757650968    ","446682.446868663    ","동물약국","","","000",""
"3140000","314000001120190008","20190522","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신정동 323-7번지 테마프라자 101호","서울특별시 양천구 목동서로 389, 테마프라자 101호 (신정동)","08093","테마프라자약국","2019-05-22 10:10:55","I","2019-05-24 02:20:53.0","","187658.894054739    ","445962.272968839    ","동물약국","","","000",""
"3140000","314000001120190009","20190605","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 749-6번지 1층 ","서울특별시 양천구 목동중앙본로 40, 1층 (목동)","07975","팜빌편안약국","2019-06-05 16:20:17","I","2019-06-07 02:21:05.0","","188356.5828198      ","448612.241765973    ","동물약국","","","000",""
"3140000","314000001120190011","20190816","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신정동 1320-4번지 이펜하우스타워 104호","서울특별시 양천구 신정이펜2로 12, 이펜하우스타워 104호 (신정동)","08049","메디칼으뜸약국","2019-08-16 17:20:34","I","2019-08-18 02:22:04.0","","185143.375565775    ","445610.277402204    ","동물약국","","","000",""
"3140000","314000001120190013","20190909","","01","영업/정상","0000","정상","","","","","02-2646-5776","","","서울특별시 양천구 신정동 118-20번지 ","서울특별시 양천구 신목로 86 (신정동)","08009","삼주약국","2019-09-09 13:06:48","I","2019-09-11 02:22:33.0","","188860.887455631    ","446682.626199308    ","동물약국","","","000",""
"3140000","314000001120190014","20191008","","01","영업/정상","0000","정상","","","","","02-6012-3968","","","서울특별시 양천구 목동 753-7번지 ","서울특별시 양천구 목동중앙로 95 (목동)","07961","나눔약국","2019-10-08 18:07:25","I","2019-10-10 00:22:46.0","","188633.716610661    ","448384.092557002    ","동물약국","","","000",""
"3140000","314000001120190015","20191112","","01","영업/정상","0000","정상","","","","","02-2651-3467","","","서울특별시 양천구 목동 962번지 목동트라팰리스 웨스턴에비뉴 지하101호","서울특별시 양천구 오목로 299, 목동트라팰리스 웨스턴에비뉴 지하101호 (목동)","08001","마트온누리약국","2019-11-12 13:02:23","I","2019-11-14 00:23:14.0","","188472.759197224    ","447091.855963511    ","동물약국","","","000",""
"3140000","314000001120190016","20191112","","01","영업/정상","0000","정상","","","","","02-2603-2366","","","서울특별시 양천구 신정동 972-4번지 ","서울특별시 양천구 중앙로 282 (신정동)","08026","천지인약국","2019-11-12 13:04:54","I","2019-11-14 00:23:14.0","","186904.1507792      ","446604.608490055    ","동물약국","","","000",""
"3140000","314000001120200003","20200306","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 917-9 현대41타워 ","서울특별시 양천구 목동동로 293, 현대41타워 1층 36, 37호 (목동)","07997","41약국","2021-08-13 17:48:04","U","2021-08-15 02:40:00.0","","188953.066831076    ","447333.569187997    ","동물약국","","","000","0"
"3140000","314000001120200005","20200417","","01","영업/정상","0000","정상","","","","","02-6949-3088","","","서울특별시 양천구 목동 514-18번지 어바니엘 ","서울특별시 양천구 공항대로 630, 1층 (목동, 어바니엘)","07968","더선약국","2020-04-17 13:50:14","I","2020-04-19 00:23:21.0","","188868.78715669     ","449386.014108408    ","동물약국","","","000",""
"3140000","314000001120200007","20201021","","01","영업/정상","0000","정상","","","","","2644-8884","0","","서울특별시 양천구 신정동 329-10 목동 블루스퀘어 ","서울특별시 양천구 목동동로 150, 목동 블루스퀘어 105호 (신정동)","08014","스마트약국","2020-10-22 09:42:56","I","2020-10-24 00:23:10.0","","188484.077672874    ","446311.699743049    ","동물약국","","","000",""
"3140000","314000001120200009","20201112","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신정동 117-1 ","서울특별시 양천구 신목로 84, 삼지빌딩 1층 (신정동)","08009","중앙제일약국","2020-11-12 10:28:18","I","2020-11-14 00:23:08.0","","188843.45365005     ","446668.555985194    ","동물약국","","","000",""
"3140000","314000001120200010","20201124","","01","영업/정상","0000","정상","","","","","02-6951-1129","0","","서울특별시 양천구 목동 606-14 동향빌딩 1층 ","서울특별시 양천구 등촌로 230, 동향빌딩 1층 (목동)","07946","올리브약국","2021-01-13 16:32:44","U","2021-01-15 02:40:00.0","","187930.037785561    ","449767.441786782    ","동물약국","","","000",""
"3140000","314000001120200011","20201210","","01","영업/정상","0000","정상","","","","","02-2601-8557","0","","서울특별시 양천구 신정동 899-7 ","서울특별시 양천구 목동로 223, 1층 (신정동)","07937","오렌지라임약국","2021-05-27 09:10:29","U","2021-05-29 02:40:00.0","","187889.318611598    ","447351.606624409    ","동물약국","","","000",""
"3140000","314000001120200012","20201221","","01","영업/정상","0000","정상","","","","","2606-0783","","","서울특별시 양천구 신월동 136-8 우영아파트 ","서울특별시 양천구 남부순환로59길 3, 1층 102호 (신월동, 우영아파트)","07920","행복약국","2020-12-21 10:15:15","I","2020-12-23 00:23:05.0","","185044.782770876    ","447771.636282123    ","동물약국","","","000",""
"3140000","314000001120210002","20210416","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신정동 1028-2 ","서울특별시 양천구 신월로 314, 1층 (신정동)","08082","태평양온누리약국","2021-04-16 17:01:58","I","2021-04-18 00:22:58.0","","187191.284450412    ","446567.653040949    ","동물약국","","","000",""
"3140000","314000001120210004","20210520","","01","영업/정상","0000","정상","","","","","02-2692-0422","","","서울특별시 양천구 신정동 898-11 1층 ","서울특별시 양천구 목동로 229, 1층 (신정동)","07937","홍일태평양약국","2021-05-20 13:06:45","I","2021-05-22 00:22:55.0","","187871.363218228    ","447430.427686132    ","동물약국","","","000",""
"3140000","314000001120210005","20210527","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 613-1 목동 RICH SQUARE 103호","서울특별시 양천구 목동중앙북로7가길 61, 103호 (목동, 목동 RICH SQUARE)","07946","믿음약국","2021-05-27 10:22:22","I","2021-05-29 00:22:55.0","","187927.103647605    ","449727.47955699     ","동물약국","","","000",""
"3140000","314000001120210006","20210603","","01","영업/정상","0000","정상","","","","","02-2648-8003","","","서울특별시 양천구 목동 793-1 ","서울특별시 양천구 등촌로 26, 1층 (목동)","07966","팜코리아약국","2021-06-03 17:48:35","I","2021-06-05 00:23:05.0","","187920.000309636    ","447790.00708684     ","동물약국","","","000",""
"3140000","314000001120210007","20210610","","01","영업/정상","0000","정상","","","","","02-2654-9503","","","서울특별시 양천구 목동 408-174 동문빌딩 4층 2호","서울특별시 양천구 목동서로 256, 동문빌딩 4층 2호 (목동)","08003","목동동물약국","2021-06-10 08:57:02","I","2021-06-12 00:22:54.0","","188371.52164502     ","446938.001523513    ","동물약국","","","000",""
"3140000","314000001120210008","20210624","","01","영업/정상","0000","정상","","","","","02-2644-4488","","","서울특별시 양천구 신정동 282-2 메리트윈 상가동 105호","서울특별시 양천구 목동동로8길 23, 메리트윈 상가동 105호 (신정동)","08017","행복한온누리약국","2021-06-24 19:46:49","I","2021-06-26 00:22:54.0","","188571.263720698    ","446080.039653992    ","동물약국","","","000",""
"3140000","314000001120210009","20210723","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 546-4 성운빌딩 ","서울특별시 양천구 목동중앙본로28길 1, 성운빌딩 1층 (목동)","07973","우리들약국","2021-07-23 09:56:56","I","2021-07-25 00:23:01.0","","188502.318102705    ","449077.195070137    ","동물약국","","","000","0"
"3140000","314000001120210010","20210915","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 양천구 목동 602-1 1층 5호","서울특별시 양천구 공항대로 564, 1층 5호 (목동)","07947","가람약국","2021-11-06 11:29:09","U","2021-11-09 02:40:00.0","","188253.377395195    ","449654.079008626    ","동물약국","","","000","0"
"3140000","314000001120210011","20211108","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 736-16 아산들 ","서울특별시 양천구 목동중앙남로4길 9, 아산들 1층 (목동)","07960","보현약국","2021-11-08 10:10:49","I","2021-11-10 00:22:45.0","","188232.144294285    ","448283.073673824    ","동물약국","","","000","0"
"3140000","314000001120210012","20211108","","01","영업/정상","0000","정상","","","","","0226528343","","","서울특별시 양천구 신정동 895-16 ","서울특별시 양천구 목동로27길 5, 1층 (신정동)","07937","종로프라자약국","2021-11-08 17:08:23","I","2021-11-10 00:22:45.0","","187843.611020504    ","447366.640645544    ","동물약국","","","000","0"
"3140000","314000001120210013","20211118","","01","영업/정상","0000","정상","","","","","02-2644-8018","","","서울특별시 양천구 목동 404-156 대경프라자 104호","서울특별시 양천구 신목로 102, 대경프라자 104호 (목동)","08007","자연약국","2021-11-18 11:45:32","I","2021-11-20 00:22:44.0","","188954.524397407    ","446824.338404844    ","동물약국","","","000","0"
"3140000","314000001120210014","20211203","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 양천구 신월동 536-6 ","서울특별시 양천구 신월로 179, 1층 (신월동)","08030","라온온누리약국","2021-12-03 09:46:08","I","2021-12-05 00:22:43.0","","186052.170748482    ","446339.972046325    ","동물약국","","","000","0"
"3140000","314000001120210015","20211230","","01","영업/정상","0000","정상","","","","","02-396-6775","","","서울특별시 양천구 신정동 323-12 양지빌딩 ll ","서울특별시 양천구 목동동로 73, 양지빌딩 ll (신정동)","08093","조아약국","2021-12-30 09:26:32","I","2022-01-01 00:22:41.0","","187803.927345869    ","445959.667219293    ","동물약국","","","000","0"
"3140000","314000001120220001","20220106","","01","영업/정상","0000","정상","","","","","02-2648-1858","","","서울특별시 양천구 목동 792-4 목동 태영프라자 ","서울특별시 양천구 등촌로 32, 목동 태영프라자 102호 (목동)","07965","365목동 동물약국","2022-01-06 10:12:56","I","2022-01-08 00:22:40.0","","187923.919592336    ","447850.891096367    ","동물약국","","","000","0"
"3140000","314000001120220002","20220117","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 792-4 목동 태영프라자 ","서울특별시 양천구 등촌로 32, 목동 태영프라자 106호 (목동)","07965","코코약국","2022-01-17 14:33:25","I","2022-01-19 00:22:40.0","","187923.919592336    ","447850.891096367    ","동물약국","","","000","0"
"3140000","314000001120220003","20220402","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신월동 559-2","서울특별시 양천구 남부순환로 603, 삼정빌딩 1층 (신월동)","08065","우리동네맘약국","2022-04-02 12:57:13","I","2021-12-04 00:04:00.0","","185844.235783864","445899.245694786","","","","",""
"3140000","314000001120220004","20220504","","01","영업/정상","0000","정상","","","","","02-2605-9844","","","서울특별시 양천구 신월동 160-1 1층","서울특별시 양천구 남부순환로40길 13, 1층 (신월동)","07912","동인프라자약국","2022-05-04 15:40:10","I","2021-12-05 00:06:00.0","","184728.728549355","448073.358078676","","","","",""
"3140000","314000001120220005","20220516","","01","영업/정상","0000","정상","","","","","0226927573","","","서울특별시 양천구 신월동 427-10","서울특별시 양천구 월정로 57, 1층 (신월동)","07929","한약국","2022-05-16 13:04:37","I","2021-12-04 23:08:00.0","","185911.857581422","446940.87715292","","","","",""
"3140000","314000001120220006","20220531","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 양천구 신월동 502-5 1호","서울특별시 양천구 중앙로 291, 1층 1호 (신월동)","08028","분수광장약국","2022-06-09 10:15:36","U","2021-12-05 23:01:00.0","","186815.245587102","446670.512511808","","","","",""
"3140000","314000001120220007","20220615","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 406-425","서울특별시 양천구 오목로 281, 1층 102호 (목동)","07993","봄봄약국","2022-06-15 13:33:36","I","2021-12-05 23:07:00.0","","188331.489990973","447078.131071877","","","","",""
"3140000","314000001120220008","20220620","","01","영업/정상","0000","정상","","","","","02-6084-7334","","","서울특별시 양천구 목동 610-22 102호","서울특별시 양천구 목동중앙북로 21, 102호 (목동)","07946","일등약국","2022-06-20 15:18:35","I","2021-12-05 22:02:00.0","","188103.234482327","449586.974248859","","","","",""
"3140000","314000001120220009","20220726","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신월동 992-3 승원빌딩","서울특별시 양천구 지양로 22, 승원빌딩 1층 102호 (신월동)","08041","건강한우리약국","2022-07-26 15:27:04","I","2021-12-06 22:08:00.0","","185562.527967436","446281.465297211","","","","",""
"3140000","314000001120220010","20220801","","01","영업/정상","0000","정상","","","","","0226960903","","","서울특별시 양천구 신정동 907-14 이스트만빌딩","서울특별시 양천구 오목로 197, 이스트만빌딩 1층 (신정동)","07945","바른약국","2022-08-01 16:06:22","I","2021-12-08 00:03:00.0","","187502.449628716","447056.476029099","","","","",""
"3140000","314000001120220011","20220803","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신월동 428-2 청송프라임","서울특별시 양천구 월정로 51, 104호 (신월동, 청송프라임)","07930","신월우리약국","2022-08-03 09:10:54","I","2021-12-08 00:05:00.0","","185927.367971683","446888.312178952","","","","",""
"3140000","314000001120220012","20220803","","01","영업/정상","0000","정상","","","","","02-2655-0701","","","서울특별시 양천구 신정동 323-6 101호","서울특별시 양천구 목동서로 383, 101호 (신정동)","08093","나나약국","2022-08-03 09:13:58","I","2021-12-08 00:05:00.0","","187686.427537015","445974.206322411","","","","",""
"3140000","314000001120220013","2022-08-17","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신월동 52-10","서울특별시 양천구 남부순환로 329(신월동)","07904","신월메디칼약국","2023-06-21 17:08:46","U","2022-12-05 22:04:00.0","","184684.375","448388.074999999","","","","",""
"3140000","314000001120220014","20220915","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신정동 1320-1 서남 프라자2 106호","서울특별시 양천구 신정이펜2로 14, 서남 프라자2 106호 (신정동)","08049","서남고은약국","2022-09-15 10:12:29","I","2021-12-08 23:07:00.0","","185110.894254328","445597.867304429","","","","",""
"3140000","314000001120220016","20221101","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 909-5 103호","서울특별시 양천구 목동동로 435, 103호 (목동)","07984","해든이화약국","2022-11-01 13:01:25","I","2021-11-01 00:03:00.0","","189755.541308355","448356.632865262","","","","",""
"3140000","314000001120230001","2023-02-02","","01","영업/정상","0000","정상","","","","","02-2062-4573","","","서울특별시 양천구 목동 736-21 102호","서울특별시 양천구 목동중앙남로4길 3, 1층 102호 (목동)","07960","정문약국","2023-02-02 16:03:40","I","2022-12-02 00:04:00.0","","188217.428735443","448265.607104367","","","","",""
"3140000","314000001120230002","2023-02-08","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 907-17 광장상가","서울특별시 양천구 목동동로 379, 광장상가 1층 (목동)","07983","메디팜금빛약국","2023-02-08 17:43:28","I","2022-12-01 23:00:00.0","","189214.609593464","448157.690643506","","","","",""
"3140000","314000001120230003","2023-02-21","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신정동 1190-6","서울특별시 양천구 중앙로 269, 1층 (신정동)","08058","신정네거리중앙약국","2023-02-21 14:08:01","I","2022-12-01 22:03:00.0","","186887.779001601","446481.970675579","","","","",""
"3140000","314000001120230004","2023-03-23","","01","영업/정상","0000","정상","","","","","2601-0033","0","","서울특별시 양천구 신월동 166-1","서울특별시 양천구 남부순환로40길 7(신월동)","07910","다올약국","2023-03-24 09:31:57","I","2022-12-02 22:06:00.0","","184745.326179726","448086.395342633","","","","",""
"3140000","314000001120230005","2023-03-27","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 목동 917-6 중소기업유통센터(행복한백화점)","서울특별시 양천구 목동동로 309, 중소기업유통센터(행복한백화점) 지1층 (목동)","07997","목동행복한약국","2023-03-27 14:40:47","I","2022-12-02 22:09:00.0","","188977.171050288","447466.355031447","","","","",""
"3140000","314000001120230006","2023-04-05","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신월동 575-1","서울특별시 양천구 신월로 170, 1층 (신월동)","08064","목동센트럴약국","2023-06-08 10:41:35","U","2022-12-05 23:00:00.0","","186007.943213494","446225.17755519","","","","",""
"3140000","314000001120230007","2023-05-10","","01","영업/정상","0000","정상","","","","","02-2607-4872","","","서울특별시 양천구 신정동 922-1 제이클래스목동주상복합","서울특별시 양천구 오목로 147, 104호 (신정동, 제이클래스목동주상복합)","07943","신정튼튼약국","2023-05-10 13:20:04","I","2022-12-04 23:02:00.0","","186991.328452973","446987.907407296","","","","",""
"3140000","314000001120230008","2023-09-12","","01","영업/정상","0000","정상","","","","","02-2692-8880","","","서울특별시 양천구 신정동 896-9","서울특별시 양천구 목동로27길 6, 1층 (신정동)","07937","목동건강약국","2023-09-12 16:17:23","I","2022-12-08 23:04:00.0","","187842.850067804","447388.30449073","","","","",""
"3140000","314000001120230009","2023-09-26","","01","영업/정상","0000","정상","","","","","02-6084-7334","0","","서울특별시 양천구 목동 610-22","서울특별시 양천구 목동중앙북로 21, 1층 (목동)","07946","일등약국","2023-09-27 14:36:20","I","2022-12-08 22:09:00.0","","188103.234482327","449586.974248859","","","","",""
"3140000","314000001120230010","2023-10-11","","01","영업/정상","0000","정상","","","","","02-2607-7946","","","서울특별시 양천구 신정동 1267 뉴프라자 107호","서울특별시 양천구 신정로 312, 뉴프라자 1층 107호 (신정동)","08106","신세계약국","2023-10-11 16:20:46","I","2022-10-30 23:04:00.0","","187158.467033065","445678.076325463","","","","",""
"3140000","314000001120230011","2023-10-13","","01","영업/정상","0000","정상","","","","","02-2601-9116","","","서울특별시 양천구 신월동 1063 신정뉴타운롯데캐슬 108호","서울특별시 양천구 중앙로29길 61, 108호 (신월동, 신정뉴타운롯데캐슬)","08061","맑은약국","2023-10-13 16:43:48","I","2022-10-30 23:05:00.0","","186454.973563653","446291.4549197","","","","",""
